payment_id,correct_invoice_id,split
PAY001,INV001,train
PAY002,INV002,train
PAY003,INV003,train
PAY004,INV004,train
PAY005,INV005,train
PAY006,INV006,train
PAY007,INV007,train
PAY008,INV008,train
PAY009,INV009,train
PAY010,INV010,train
PAY011,INV011,train
PAY012,INV012,train
PAY013,INV013A+INV013B,train
PAY014,INV014A+INV014B,train
PAY015,INV015,train
PAY016,INV016,train
PAY017,INV017,train
PAY018,INV018,train
PAY019,none,train
PAY020,none,train
PAY021,INV021,holdout
PAY022,INV022,holdout
PAY023,INV023,holdout
PAY024,INV024,holdout
PAY025,INV025A+INV025B,holdout
PAY026,INV026,holdout
PAY027,INV027,holdout
PAY028,INV028,holdout
PAY029,INV029,holdout
PAY030,none,holdout
