id,date,vendor_name,amount,invoice_number
INV001,2026-05-01,PT Maju Jaya,5000000,INV-2026-001
INV002,2026-05-02,CV Sumber Rezeki,3750000,INV-2026-002
INV003,2026-05-03,PT Karya Mandiri,12500000,INV-2026-003
INV004,2026-05-04,UD Harapan Baru,2200000,INV-2026-004
INV005,2026-05-05,PT Global Teknologi,8750000,INV-2026-005
INV006,2026-05-06,PT Maju Jaya Sejahtera,4500000,INV-2026-006
INV007,2026-05-07,CV Sumber Rezeki Abadi,6000000,INV-2026-007
INV008,2026-05-08,PT Karya Mandiri Utama,9800000,INV-2026-008
INV009,2026-05-09,PT Cahaya Nusantara,15000000,INV-2026-009
INV010,2026-05-10,CV Bintang Timur,7500000,INV-2026-010
INV011,2026-05-11,PT Dinamika Jaya,11000000,INV-2026-011
INV012,2026-05-14,UD Makmur Sentosa,3300000,INV-2026-012
INV013A,2026-05-15,PT Sejahtera Abadi,5000000,INV-2026-013A
INV013B,2026-05-15,PT Sejahtera Abadi,3500000,INV-2026-013B
INV014A,2026-05-16,CV Mitra Usaha,3000000,INV-2026-014A
INV014B,2026-05-16,CV Mitra Usaha,2750000,INV-2026-014B
INV015,2026-05-18,PT Anugerah Prima,5500000,INV-2026-015
INV016,2026-05-19,CV Surya Gemilang,5500000,INV-2026-016
INV017,2026-05-21,PT Nusantara Sakti,9200000,INV-2026-017
INV018,2026-05-22,UD Berkah Sejati,9200000,INV-2026-018
INV021,2026-06-01,PT Maju Bersama,6200000,INV-2026-021
INV022,2026-06-02,CV Sumber Makmur Abadi,4100000,INV-2026-022
INV023,2026-06-04,PT Karya Bersatu,18500000,INV-2026-023
INV024,2026-06-03,CV Harapan Makmur,7700000,INV-2026-024
INV025A,2026-06-05,PT Sentosa Jaya,6250000,INV-2026-025A
INV025B,2026-06-05,PT Sentosa Jaya,5000000,INV-2026-025B
INV026,2026-06-07,PT Gemilang Abadi,3800000,INV-2026-026
INV027,2026-06-08,CV Cahaya Timur,3800000,INV-2026-027
INV028,2026-06-09,PT Jaya Mandiri,15000000,INV-2026-028
INV029,2026-06-10,UD Maju Sejahtera,5950000,INV-2026-029
