id,date,payer_name,amount,reference
PAY001,2026-05-01,PT Maju Jaya,5000000,INV-2026-001
PAY002,2026-05-02,CV Sumber Rezeki,3750000,INV-2026-002
PAY003,2026-05-03,PT Karya Mandiri,12500000,INV-2026-003
PAY004,2026-05-04,UD Harapan Baru,2200000,INV-2026-004
PAY005,2026-05-05,PT Global Tekno,8750000,INV-2026-005
PAY006,2026-05-06,Maju Jaya Sejahtera,4500000,PO-2026-006
PAY007,2026-05-07,Sumber Rezeki Abadi,6000000,
PAY008,2026-05-08,Karya Mandiri Utama,9800000,INV2026008
PAY009,2026-05-09,PT Cahaya Nusantara,14993500,INV-2026-009
PAY010,2026-05-10,CV Bintang Timur,7493500,INV-2026-010
PAY011,2026-05-13,PT Dinamika Jaya,11000000,INV-2026-011
PAY012,2026-05-15,UD Makmur Sentosa,3300000,INV-2026-012
PAY013,2026-05-16,PT Sejahtera Abadi,8500000,INV-2026-013A+013B
PAY014,2026-05-17,CV Mitra Usaha,5750000,INV-2026-014A+014B
PAY015,2026-05-18,PT Anugerah Prima,5500000,INV-2026-015
PAY016,2026-05-20,CV Surya Gemilang,5500000,
PAY017,2026-05-21,PT Nusantara Sakti,9200000,INV-2026-017
PAY018,2026-05-22,UD Berkah Sejati,9200000,
PAY019,2026-05-23,PT Sumber Nusantara,3750000,
PAY020,2026-05-24,CV Karya Makmur,12500000,
PAY021,2026-06-01,PT Maju Bersama,6200000,INV-2026-021
PAY022,2026-06-02,Sumber Makmur Abadi,4100000,PO-2026-022
PAY023,2026-06-04,PT Karya Bersatu,18493500,INV-2026-023
PAY024,2026-06-05,CV Harapan Makmur,7700000,INV-2026-024
PAY025,2026-06-06,PT Sentosa Jaya,11250000,INV-2026-025A+025B
PAY026,2026-06-07,PT Gemilang Abadi,3800000,INV-2026-026
PAY027,2026-06-08,CV Cahaya Timur,3800000,
PAY028,2026-06-09,PT Jaya Mandiri,15000000,INV-2026-028
PAY029,2026-06-10,UD Maju Sejahtera,5950000,INV-2026-029
PAY030,2026-06-11,PT Gemilang Nusantara,3800000,
