payment_id,correct_invoice_id,split
TRX-2026-0001,INV-SS-2026-001,train
TRX-2026-0002,INV-HP-2026-003,train
TRX-2026-0003,INV-MS-2026-008,train
TRX-2026-0004,INV-EPS-2026-010,train
TRX-2026-0005,INV-CAN-2026-012,train
TRX-2026-0006,INV-LEN-2026-013,train
TRX-2026-0007,INV-ASUS-2026-014,train
TRX-2026-0008,INV-TSB-2026-017,train
TRX-2026-0009,INV-ACR-2026-015+INV-ACR-2026-016,train
TRX-2026-0010,INV-WD-2026-018,train
TRX-2026-0011,INV-SS-2026-019,train
TRX-2026-0014,none,train
TRX-2026-0015,none,train
TRX-2026-0018,INV-DELL-2026-023,train
TRX-2026-0012,INV-HP-2026-015,holdout
TRX-2026-0013,INV-EPS-2026-020,holdout
TRX-2026-0016,none,holdout
TRX-2026-0017,none,holdout
TRX-2026-0019,INV-LEN-2026-024,holdout
TRX-2026-0020,INV-LOG-2026-025,holdout
TRX-2026-0021,INV-KST-2026-027+INV-KST-2026-028,holdout
