no_laporan,periode_rekonsiliasi,tanggal_rekonsiliasi,no_transaksi_bank,tanggal_bayar,nama_pengirim,bank_pengirim,nominal_bayar,no_invoice,tanggal_invoice,nama_vendor_invoice,nominal_tagihan,selisih_nominal,keterangan_selisih,status_rekonsiliasi,kategori_rekonsiliasi,tingkat_keyakinan,catatan_akunting,nama_petugas_rekonsiliasi,status_persetujuan_manajer,nama_manajer_keuangan,tanggal_persetujuan
REK-2026-MAY-001,Mei 2026,2026-06-01,TRX-2026-0001,2026-05-02,PT Samsung Electronics Indonesia,BCA,45000000,INV-SS-2026-001,2026-05-01,PT Samsung Electronics Indonesia,45000000,0,-,COCOK,MATCH_LANGSUNG,0.98,"Nama vendor, nominal, dan periode cocok sempurna. Referensi INV tercantum di keterangan transfer.",Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-002,Mei 2026,2026-06-01,TRX-2026-0002,2026-05-04,PT HP Indonesia,Mandiri,12500000,INV-HP-2026-003,2026-05-03,PT HP Indonesia,12500000,0,-,COCOK,MATCH_LANGSUNG,0.97,Nominal dan nama vendor sesuai. Keterangan transfer mencantumkan nomor invoice dengan tepat.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-003,Mei 2026,2026-06-01,TRX-2026-0003,2026-05-09,PT Microsoft Indonesia,BNI,28750000,INV-MS-2026-008,2026-05-07,PT Microsoft Indonesia,28750000,0,-,COCOK,MATCH_LANGSUNG,0.96,"Pembayaran langganan Office 365. Nominal sesuai, selisih tanggal 2 hari dalam toleransi normal.",Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-004,Mei 2026,2026-06-01,TRX-2026-0004,2026-05-11,PT Epson Indonesia,BCA,8900000,INV-EPS-2026-010,2026-05-10,PT Epson Indonesia,8900000,0,-,COCOK,MATCH_LANGSUNG,0.98,Match sempurna. Keterangan transfer memuat nomor invoice secara eksplisit.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-005,Mei 2026,2026-06-01,TRX-2026-0005,2026-05-13,PT Canon Indonesia,Mandiri,15200000,INV-CAN-2026-012,2026-05-12,PT Canon Indonesia,15200000,0,-,COCOK,MATCH_LANGSUNG,0.97,Nominal dan identitas vendor cocok. Keterangan transfer 'CANON INV-CAN-2026-012' sangat jelas.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-006,Mei 2026,2026-06-01,TRX-2026-0006,2026-05-15,CV Lenovo Solution Indonesia,BCA,23100000,INV-LEN-2026-013,2026-05-14,CV Lenovo Solutions Indonesia,23100000,0,Perbedaan ejaan: 'Solution' vs 'Solutions',COCOK,NAMA_VENDOR_MIRIP,0.91,Nama pengirim di bank 'CV Lenovo Solution Indonesia' berbeda 1 karakter dengan vendor terdaftar 'CV Lenovo Solutions Indonesia'. Nominal dan periode cocok. Disarankan vendor memperbarui nama rekening agar konsisten.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-007,Mei 2026,2026-06-01,TRX-2026-0007,2026-05-16,Asus Technology Indo,Mandiri,17850000,INV-ASUS-2026-014,2026-05-15,CV Asus Technology Indonesia,17850000,0,Nama singkat di bank vs nama lengkap di invoice,COCOK,NAMA_VENDOR_MIRIP,0.83,Pengirim menggunakan nama pendek 'Asus Technology Indo' sedangkan vendor terdaftar 'CV Asus Technology Indonesia'. Nominal dan keterangan INV cocok. Dikonfirmasi melalui kode vendor VND-ASUS. Perlu instruksi ke vendor agar nama rekening sesuai master data.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-008,Mei 2026,2026-06-01,TRX-2026-0008,2026-05-18,Toshiba Enterprise,BCA,9400000,INV-TSB-2026-017,2026-05-17,PT Toshiba Enterprise Solutions,9400000,0,Nama singkat di bank vs nama lengkap di invoice,COCOK,NAMA_VENDOR_MIRIP,0.79,Nama pengirim 'Toshiba Enterprise' lebih pendek dari vendor terdaftar 'PT Toshiba Enterprise Solutions'. Nominal Rp9.400.000 dan periode Mei 2026 cocok. Tidak ada vendor lain dengan nama serupa. Rekomendasi: minta vendor update nama rekening.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-009a,Mei 2026,2026-06-01,TRX-2026-0009,2026-05-19,PT Acer Indonesia,BNI,38500000,INV-ACR-2026-015,2026-05-14,PT Acer Indonesia,22000000,16500000,Split: sisa Rp16.500.000 dialokasikan ke INV-ACR-2026-016,COCOK,SPLIT_PAYMENT,0.93,Pembayaran tunggal Rp38.500.000 menutup dua invoice: INV-ACR-2026-015 (Rp22.000.000) + INV-ACR-2026-016 (Rp16.500.000). Total Rp38.500.000 = Rp22.000.000 + Rp16.500.000. Keterangan transfer 'Pelunasan 2 tagihan ACR Mei' mengkonfirmasi split.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
REK-2026-MAY-009b,Mei 2026,2026-06-01,TRX-2026-0009,2026-05-19,PT Acer Indonesia,BNI,38500000,INV-ACR-2026-016,2026-05-14,PT Acer Indonesia,16500000,22000000,Split: sisa Rp22.000.000 dialokasikan ke INV-ACR-2026-015,COCOK,SPLIT_PAYMENT,0.93,Baris kedua dari split payment TRX-2026-0009. Invoice INV-ACR-2026-016 Rp16.500.000 dilunasi bersama INV-ACR-2026-015. Total pembayaran Rp38.500.000 = gabungan kedua invoice. Lihat REK-2026-MAY-009a untuk detail.,Dewi Rahmawati,DISETUJUI,Budi Santoso (Manajer Keuangan),2026-06-02
